prop_name,area1,lat,lng
The Crescent B, The Crescent,25.03323746,55.20248032
Al Jawhara Residences, Jumeirah Village Triangle,25.03658676,55.17671204
Beverly Residence, Jumeirah Village Circle,25.05022621,55.21334839
Med 54, Mediterranean Cluster,25.04313087,55.13655472
PRIVE BY DAMAC (B), DAMAC Maison Privé,25.18422127,55.27580261
Icon Tower 2, JLT Cluster L,25.06557083,55.14023972
May Residence, Jumeirah Village Circle,25.06687355,55.20377731
Travo Tower A, Travo,25.0906601,55.1717453
Viridis A, Viridis Residence and Hotel Apartments,24.98417091,55.39294052
Hamilton Tower, Business Bay,25.18577194,55.28609848
Lincoln Park B, Lincoln Park,25.06100655,55.2381134
Arjan, Dubai,25.06016731,55.2398262
AZIZI Riviera 37, Meydan One,25.17460251,55.31075668
Global Golf Residences 2, Dubai Sports City,25.03951454,55.21796417
Azizi Fawad Residence, Dubai Healthcare City,25.20843506,55.31558228
Regina Tower, Jumeirah Village Circle,25.05714035,55.21205139
Al Barsha South 4, Al Barsha South,25.06781387,55.24564743
Saih Shuaib 2, Dubai Industrial City,24.87213326,55.0534935
Al Barsha South 3, Al Barsha South,25.07646561,55.23135376
Saih Shuaib 4, Dubai Industrial City,24.89291763,55.06912994
Burj Residence 3, Arjan,25.06601715,55.23974609
Ayedh Tower, Al Jaddaf,25.2220993,55.33103561
Casa Grande, Jumeirah Village Circle,25.06385422,55.21672058
The Icon Casa, Jumeirah Village Circle,25.06084061,55.20977783
Montrell, Al Furjan,25.02516556,55.14601898
The Crescent A, The Crescent,25.03296089,55.20262909
Oxford Terraces 2, Jumeirah Village Circle,25.06759834,55.21187592
Al Ghozlan 4, Al Ghozlan,25.0912838,55.17406464
Avanti, Business Bay,25.17737389,55.27270889
AZIZI Riviera 46, Meydan One,25.17198753,55.31022263
Golf Promenade 2B, Golf Promenade,25.02243042,55.25779724
Spanish Tower, Dubai Sports City,25.03621864,55.22292709
Ice by Stree, Jumeirah Village Triangle,25.04101944,55.18418503
Time 1, Dubai Land,25.09261894,55.37479782
The Court, Business Bay,25.18475723,55.25880432
Platinum One, Arjan,25.06658363,55.24564743
Celestia B, Celestia,24.94881058,55.20297623
Florence 2, Tuscan Residences,25.06414604,55.20864487
Carson B, Carson,25.02453041,55.24319458
AZIZI Riviera 24, Meydan One,25.17368889,55.31166077
Hyatt Regency Creek Heights Residences, Dubai Healthcare City,25.23403931,55.32392883
Al Hikma Building, Al Warsan 4,25.14190865,55.40018082
Ritaj K, Ritaj (Residential Complex),24.98706245,55.20116806
Maya 1, Jumeirah Village Triangle,25.05888367,55.1941452
Jaddaf Place, Al Jaddaf,25.21407318,55.3297348
Crystal Residence, Jumeirah Village Circle,25.06647491,55.21453476
Golf Terrace A, NAIA Golf Terrace at Akoya,25.0184269,55.25243378
Azizi Plaza, Al Furjan,25.02222061,55.13887787
SOL Bay, Business Bay,25.17941475,55.27323151
Arabian, Canal Residence,25.03559113,55.22335052
Lago Vista C, Lago Vista,25.03477478,55.20175171
The Address BLVD Sky Collection, Downtown Dubai,25.20062065,55.27632523
Eleganz by Danube, Jumeirah Village Circle,25.04930115,55.19776917
Binghatti Pearls, Dubai Silicon Oasis,25.10845947,55.37648392
AG Tower, Business Bay,25.17972565,55.26917648
The Sterling East, The Sterling,25.18962288,55.28271103
Azizi Riviera 33, Meydan One,25.17127228,55.3042984
Treppan Hotel & Suites by Fakhruddin, Dubai Sports City,25.04196548,55.22208023
Ontario Tower, Business Bay,25.18603897,55.26225662
Jumeirah Bay X1, JLT Cluster X,25.08014297,55.1523819
Central Towers A, Arjan,25.06611443,55.2359848
Phase 2, Al Furjan,25.0268383,55.14328003
Elite Sports Residence 3, Elite Sports Residence,25.04467964,55.21553421
The Address Dubai Marina, Dubai Marina,25.07732773,55.14031601
Royal Continental Suites, Business Bay,25.18297577,55.2834549
Majestique Residence 1, Majestique Residence,24.94496727,55.21085739
Pantheon Elysee, Jumeirah Village Circle,25.05151367,55.20773315
Madison Residences, Majan,25.09438896,55.31812668
Central Park Residential Tower, Central Park Tower,25.20641136,55.27519989
Azizi Riviera 41, Meydan One,25.17335892,55.3110733
AZIZI Riviera 10, Meydan One,25.17253494,55.30403137
Skycourts Tower E, Skycourts Towers,25.09098625,55.38538742
Phase 3, Al Furjan,25.02681923,55.14617538
Lawnz by Danube Block 3, Lawnz by Danube,25.15285683,55.40933228
Palace Tower 2, Palace Towers,25.11629868,55.39061356
Al Multaqa Avenue, Mirdif Hills,25.22723961,55.44162369
Viridis D, Viridis Residence and Hotel Apartments,24.98504448,55.39439774
