,id,beds,baths,rating,reviews,capacity,title,revenue,occ,adr,lat,lng
0,abnb_1091687182104657980,1,1.0,5.0,5,2,Downtown Elegance 1BR w City View,40160.31,43.51,704.57,25.1921,55.2806
0,abnb_583982787958900185,1,1.5,,,4,1 BR Beach & Pools JBR 2 balconies,40156.64,32.12,757.67,25.07778,55.1341
0,abnb_1055695915882148070,1,1.5,5.0,1,4,Charming 1BR Noor 1 Apt in Dubai''s Vibrant Heart,40127.25,53.28,617.34,25.026561534,55.18201828
0,abnb_1067177036752871365,1,1.0,4.5,2,3,OFFER! 50% OFF GIVEN! Modern studio that sleeps 4!,40116.23,93.33,477.57,25.18818,55.2829
0,abnb_1051919014822567196,1,1.0,1.0,1,2,"Modern 1BR | In Business Bay, near Canal & Metro",40090.52,50.68,541.76,25.185033707,55.262775004
0,abnb_1042036910268437708,1,1.5,4.8,7,4,OFFER! 50% OFF! I sleep 4 near Dubai Frame!,40083.18,73.08,703.21,25.232877981,55.296469815
0,abnb_897435782441185751,1,1.0,5.0,2,2,Chic Urban Retreat in Belgravia Heights,40079.5,72.5,460.68,25.05416,55.21987
0,vrbo_3792386,1,1.0,,0,2,Stunning 1BR Cosy Apt City View near JBR Beach,40072.16,60.66,541.52,25.065701,55.17128
0,abnb_574295988778089741,1,1.5,5.0,11,2,Floating Apartment with Breathtaking Palm Views,40072.16,42.86,954.1,25.113785,55.139957
0,vrbo_2437410,1,1.0,4.7,6,2,Studio in the heart of Sports City -great view & amenities! ,40072.16,34.04,500.9,25.04011,55.219928
0,abnb_895310073026466788,1,1.0,4.8,31,2,CitiHome- 1BR Business Bay,40053.79,45.31,460.39,25.1844,55.2617
0,abnb_945436942219439440,1,1.0,5.0,6,3,STAY By Latinem Luxury 1 BR Holiday Home CVR B3103,40050.12,39.23,488.42,25.179803557,55.303951006
0,vrbo_3156965,1,2.0,0.0,0,2,"Address Beach Residence JBR , Luxury and Iconic",40050.12,34.58,1082.44,25.074,55.1294
0,abnb_1097551141489116000,1,1.5,5.0,1,4,"OFFER! 50% OFF GIVEN! Hey, I sleep 4 in this 1bed!",40028.08,94.25,488.15,25.190549717,55.291955644
0,abnb_1065715841131751556,1,1.0,5.0,2,3,"WOW! 5-Star Stay in this One Bedroom, Golden Mile",40028.08,72.15,702.25,25.110431364,55.141697859
0,abnb_1015872149897844027,1,1.0,5.0,3,3,Luxury Burj Royale with Balcony & View Downtown,40028.08,50.0,1212.97,25.190937756,55.28048128
0,abnb_953446120264603082,1,1.0,4.5,2,2,Deluxe Room Near Burj Khalifa Metro By E R,40028.08,29.6,540.92,25.199128407,55.265740063
0,abnb_1190460088197026254,1,1.0,,,2,"Upside, 1 Bedroom, Business bay, Prime Location.",40020.74,53.66,606.37,25.1856,55.2902
0,abnb_944083277639813252,1,1.0,4.0,3,2,Studio Converted to 1BDR|The Nook|Close to Metro|,40013.39,80.95,261.53,25.02489322,55.104367095
0,abnb_1002403329460015754,1,0.0,4.8,18,2,Ocean view room JBR Dubai Marina to Beach 8 min,40006.04,61.66,256.45,25.0813,55.1384
0,abnb_973718748365382814,1,1.0,4.8,5,2,Adorable 1BR | Spacious & Luxury,39991.35,77.39,449.34,25.1792,55.3054
0,abnb_48745750,1,1.0,4.6,36,2,Modern Studio in Downtown / Burj Khalifa area,39984.01,70.55,347.69,25.19327,55.27196
0,abnb_962852708086542820,1,1.0,,,2,Dubai Canal View | Tastefully Furnished | Deluxe,39980.33,53.51,655.42,25.1845,55.2617
0,abnb_687382274473613865,1,1.0,,,2,1 Bedroom Suite Near Al Jaddaf Metro Station,39969.31,21.74,999.23,25.22161,55.33285
0,abnb_1013778780482258858,1,1.0,5.0,3,2,OFFER! 50% OFF GIVEN! Perfect space for 2 people!,39961.97,65.12,475.74,25.178582284,55.304046511
0,abnb_953436940383626869,1,1.0,2.5,2,2,Chic One Bedroom Apartment in Sobha Hartland,39961.97,57.29,726.58,25.174808658,55.308022456
0,abnb_1044574682170148551,1,1.0,4.4,8,4,One Bedroom in Dubai Marina,39961.97,47.97,562.84,25.0688,55.1294
0,abnb_969595072415480707,1,1.0,5.0,3,4,"Seaview spacious flat in Marina, walk to JBR beach",39950.95,37.58,644.37,25.081410406,55.14045234
0,abnb_725866904168210174,1,1.5,4.0,4,3,Lovely and spacious 1 bedroom with extra sofa bed,39936.26,46.06,525.48,25.057529755,55.204827764
0,abnb_670818567631439197,1,1.0,4.4,3,2,"Primestay- Index Tower, Difc",39932.58,43.97,782.99,25.20674,55.27866
0,abnb_570013506147836637,1,1.5,,,2,"Blueground | Burj Views, city view, elevator & gym",39928.91,83.87,1535.73,25.1909,55.2813
0,abnb_985989672283041762,1,1.0,4.6,5,3,STAY By Latinem Luxury 1BR Holiday Home W1006,39928.91,41.32,578.68,25.175581414,55.309408296
0,abnb_39095866,1,1.0,4.4,47,5,Striking 1BR in Dubai Marina - Minutes from Beach!,39921.57,76.19,831.7,25.07338,55.13693
0,abnb_767901452359038326,1,2.0,4.5,2,2,Damac Heights -1 BR w/ palm & Sea View in Marina,39921.57,50.53,831.7,25.09091,55.14915
0,abnb_951170401445605594,1,1.0,4.5,2,3,Trophy | Maison Sérénité Suite,39921.57,43.41,712.89,25.1916802,55.2801754
0,abnb_1049215759011871222,1,1.0,4.0,2,3,Stunning and Cozy Beach Apartment in Palm Jumeirah,39921.57,38.21,849.4,25.0988,55.1402
0,abnb_992560570483135041,1,1.0,,,2,Modern 1BR in Dubai South,39914.22,43.31,725.71,24.951661562,55.230599876
0,abnb_1064432740404246451,1,1.5,5.0,1,2,Vibrant 1BR Golden Mile - Palm Jumeirah w/Terrace,39910.55,62.5,798.21,25.107305526,55.144837882
0,abnb_27573800,1,1.5,4.6,54,2,Spacious One Bedroom near metro and downtown,39895.85,76.23,428.99,25.22723,55.28582
0,abnb_1107739062306077882,1,1.0,5.0,5,3,Incredible 1 BR in Boulevard Heights 1! Sleeps 3!,39895.85,75.9,633.27,25.1932,55.2693
0,abnb_988954960745671534,1,1.0,3.0,1,2,Modern 1 BR Apartment near Marina Beach,39877.49,36.41,561.65,25.067309331,55.130100474
0,abnb_1089856884502678444,1,1.0,4.0,4,2,Beautiful Studio Apartment in Dubai Marina,39873.82,75.23,486.27,25.073411108,55.131782688
0,abnb_986119638688305246,1,1.0,3.4,3,2,1bdr-Heart of Downtown|Close to Dubai Mall,39859.12,23.18,781.55,25.192109962,55.2694316
0,abnb_1064933609114990627,1,1.0,5.0,1,2,Primestay - Reva Residence in Business Bay,39851.78,52.98,498.15,25.187300105,55.282463449
0,abnb_669205596958837563,1,1.0,4.6,8,2,"Premium Studio Apt in the Heart of JBR Beach,Dubai",39851.78,50.75,586.06,25.08173,55.13796
0,vrbo_3334171,1,1.0,0.0,,4,Charming spacious studio in the heart of JBR,39851.78,36.02,687.1,25.07891999,55.13300571
0,abnb_954955999228786699,1,1.0,,,2,King Room Near Gold Souk By Luxury Bookings,39851.78,34.9,594.8,25.277495533,55.305493186
0,abnb_1088505668821164551,1,1.0,5.0,1,2,Creek Harbour Cozy 1 bedroom,39844.43,61.72,504.36,25.200750644,55.348902229
0,abnb_866504860317974211,1,1.0,5.0,11,2,Magnificent 1 Bedroom Apartment,39837.09,88.57,428.36,25.1793,55.3052
0,abnb_967060600722279359,1,2.0,4.8,7,3,JLT Armada Tower,39833.41,61.97,301.77,25.0756,55.1453
0,abnb_988968082508816119,1,1.0,,,2,Modern 1BR near Dubai Marina Mall,39833.41,52.87,865.94,25.074797409,55.139344154
0,abnb_1016492806015932989,1,1.0,5.0,2,4,Burj Royale Modern & Elegant 1bedroom with Balcony,39829.74,76.34,560.98,25.190602398,55.279436187
0,abnb_1085973458865317962,1,1.0,5.0,1,2,Silkhaus Marina View | Tower with Private Beach,39829.74,52.08,796.59,25.09705107,55.141983195
0,abnb_571540220717366193,1,1.5,4.9,12,5,Marina Beach Marina,39826.07,72.66,428.24,25.07587,55.14092
